UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,temp_difference,torque_speed_ratio,ambient_temperature,load_density
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,0.027595099935525464,26.84045022166682,0.7523282437070352
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,0.032883522727272727,27.419050370533334,0.7547609000832114
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,0.032977303070761015,24.3885453347308,0.6201582573588924
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,0.027564549895324496,21.549754520149737,0.3955656822344366
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,0.028409090909090908,29.001974834371424,0.35016868179354077
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,0.029403508771929824,31.156728356081405,0.6116118628471192
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,0.027214377406931962,30.769094636833458,0.8656338584968895
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,0.02632612966601179,35.016062802534165,0.45166602079336704
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,0.01715656868626275,32.625964313613125,0.9037340208764222
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,0.016082711085583,26.48253451454893,0.5782836097863266
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,0.013411896745230079,38.109238213667574,0.35391433609620054
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,0.031131412508784255,24.63757890552878,0.4227161293760078
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,0.038162808065720685,42.31633772109711,0.6022411679512182
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,0.01722158438576349,29.527718734503743,0.9830395142486912
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,0.009631449631449632,27.294811664356768,0.6910293824011673
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,0.03138780804150454,26.318674265301176,0.42910911201432933
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,0.03554538520213577,32.69474731592106,0.5661701251752324
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,0.03234042553191489,23.911568909253948,0.9489396384521804
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,0.041730474732006126,22.560916184805038,0.37679217730020115
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,0.01991421568627451,29.370982730539716,0.7674909949684505
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,0.031054545454545456,26.084919429533684,0.8274151446932396
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,0.030896551724137928,34.934760792689026,0.6076486314908488
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,0.01941808981657179,22.288478407995207,0.5322893260497842
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,0.014618885096700797,39.19002574989655,0.3292902130468819
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,0.02389493914157591,20.045498027634977,0.755388791836008
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,0.012520150456743687,23.66728393621659,0.4205997525832913
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,0.025793650793650792,27.731388004631135,0.677174408777288
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,0.013583655438983988,38.61235469733616,0.9333550093867056
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,0.03071577484364142,34.96252113655045,0.7539464655644327
